Barometer (on Android device),Engine kW (At the wheels),Intake Manifold Pressure,Trip Time(whilst moving),Turbo Boost & Vacuum Gauge,accelerometertotal,accelerometerx,accelerometery,accelerometerz,airtemperatureintake,baropressure,coolanttemp,hpwheels,kff1296,kff1297,kff1298,maf,rpm,speedgps,speedobd,throttlepos,time,torque,tripdistance,tripkpl,triplp100km,tripmpg,voltageobdadapter
1004.710938,,52,0,-6.961811414,0,0.05,0.96,-0.33,36,100,30,,80.7600901,5.012375495,14.22753441,4.96,1105,,0,14.90196078,2024-06-22T08:39:08.650755043Z,,,14.34840919,6.969352975,33.74984519,14
1004.707397,,61,0,-5.656471774,0.01,0.02,0.98,-0.36,36,100,30,,80.7600901,5.012375495,14.22753441,5.66,1176.25,0,0,14.90196078,2024-06-22T08:39:11.589176989Z,,,14.34840919,6.969352975,33.74984519,14
1004.720703,0.07620789509,61,1.134,-5.656471774,0.02,0.04,1,-0.29,35,100,31,0.1021964707,0,0,100,5.53,952.5,0,0,14.90196078,2024-06-22T08:39:16.711512669Z,0.5490903979,0.0002095833333,1.077043925,92.84591459,2.533386472,13.89999962
1004.710754,0.06889329802,60,3.294,-5.801509512,0.01,0.04,0.98,-0.35,35,100,31,0.09238743442,0,0,100,5,998.5,0,1,14.90196078,2024-06-22T08:39:21.679843722Z,0.4859477272,0.00056125,0.7766708821,128.7535435,1.82685911,14
1004.688538,,58,4.265,-6.091584987,0.02,0.04,1,-0.27,35,100,32,,0,0,100,4.84,972,0,0,14.90196078,2024-06-22T08:39:27.013089048Z,,0.0006723611111,0.7391781118,135.2842118,1.738669878,13.89999962
1004.692627,0.05115612847,58,5.056,-6.091584987,0,0.05,0.97,-0.31,35,100,33,0.06860149826,0,0,100,5.22,963.25,0,0,14.90196078,2024-06-22T08:39:31.640856442Z,0.3649481579,0.0007826388889,0.7203423309,138.821674,1.694364988,13.89999962
1004.701538,,57,6.251,-6.236622725,0.04,0.07,1,-0.35,35,100,33,,0,0,100,4.84,972.75,0,0,14.90196078,2024-06-22T08:39:36.639790628Z,,0.00091625,0.7087256009,141.0971018,1.667040506,13.89999962
1004.703308,0.2627982759,52,11.211,-6.961811414,0.06,0,1.03,-0.31,35,100,34,0.3524182929,0,0,100,4.34,962.75,0,4,14.90196078,2024-06-22T08:39:41.889035913Z,1.945756504,0.003823472222,0.7960405196,125.6206509,1.87241972,14
1004.683716,0.6645401378,41,16.255,-8.55722653,0.06,0.03,1.03,-0.33,35,100,35,0.8911630038,11.53599658,0,88.46400342,4.12,1148.25,0,9,14.90196078,2024-06-22T08:39:46.671836225Z,3.853757181,0.01304138889,1.290820095,77.46945421,3.036223585,13.69999981
1004.69519,,50,21.233,-7.25188689,0.03,0.03,1.02,-0.22,35,100,37,,17.37183733,0,82.62816267,4.15,918,3.455999831,3,14.90196078,2024-06-22T08:39:51.681375508Z,,0.02157597222,1.693443859,59.05074898,3.983261653,14
1004.68689,,60,22.96,-5.801509512,0.06,0.06,1.03,-0.35,35,100,38,,15.3337075,0,84.6662925,4.61,931.25,0,1,14.90196078,2024-06-22T08:39:56.6696726Z,,0.02226125,1.646695029,60.72716955,3.873300629,13.89999962
1004.677734,1.533473536,52,27.963,-6.961811414,0.02,0,0.99,-0.33,34,100,39,2.056421884,15.85889249,0,84.14110751,6.38,1377,4.788000028,8,19.60784314,2024-06-22T08:40:01.681930708Z,8.035958136,0.02808291667,1.670375577,59.8662538,3.929001216,14.10000038
1004.687317,0.8619946551,36,32.874,-9.282415219,0.03,-0.09,0.99,-0.35,34,100,40,1.155953873,23.70339434,0,76.29660566,5.04,1618.75,12.49199977,13,17.64705882,2024-06-22T08:40:06.666364005Z,3.665551542,0.04144888889,1.993401009,50.16508358,4.688810767,14.10000038
1004.608459,1.009576554,56,37.901,-6.381660463,0.03,0.04,0.97,-0.45,34,100,41,1.35386446,30.35024176,0,69.64975824,10,2174.75,8.783999973,15,22.74509804,2024-06-22T08:40:11.704923234Z,3.471921944,0.05865666667,2.218348308,45.07819078,5.217924232,14.10000038
1004.674377,,36,42.931,-9.282415219,-0.04,-0.02,0.93,-0.28,34,100,42,,35.93483494,0,64.06516506,3.97,1216,17.24399941,18,14.90196078,2024-06-22T08:40:16.674200092Z,,0.08451375,2.952069295,33.87424829,6.943758043,14.10000038
1004.758972,,45,47.924,-7.977075579,0.01,0.06,0.99,-0.22,34,100,44,,40.65794525,0,59.34205475,3.71,955.5,12.77999949,11,14.90196078,2024-06-22T08:40:21.677628885Z,,0.1009288889,3.509409991,28.49456989,8.254716072,14
